Customer_ID,Age,Gender,Tenure,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Churn
1,56,,3,138803,718,121992,4,,1
2,69,,1,174102,534,125877,2,,1
3,46,,10,90135,653,39062,2,,0
4,32,,6,160284,787,66364,2,,0
5,60,,6,24298,681,116045,2,,0
6,25,,4,118607,312,70553,2,,1
7,38,,6,157186,888,102827,3,,1
8,56,,10,8112,601,82654,1,,0
9,36,,4,70607,552,89565,2,,0
10,40,,2,82541,767,95273,2,,0
11,28,,6,4989,525,82207,2,,0
12,28,,5,180613,729,130243,3,,0
13,41,,7,98147,812,65266,4,,0
14,70,,1,172127,495,36126,2,,1
15,53,,2,89457,858,19066,3,,0
16,57,,1,71179,723,132562,1,,1
17,41,,6,34981,576,88830,1,,0
18,20,,2,137414,670,105630,1,,1
19,39,,2,14571,405,70043,3,,1
20,70,,7,146931,402,15586,4,,1
21,19,,5,23181,329,32904,4,,1
22,41,,1,150318,449,105315,4,,1
23,61,,5,181934,858,31997,4,,1
24,47,,6,58,369,105655,1,,0
25,55,,6,74257,642,31213,4,,0
26,19,,6,24134,396,64167,1,,0
27,38,,5,8963,325,64091,2,,0
28,50,,5,38839,854,84108,3,,0
29,29,,1,6961,325,40974,4,,1
30,39,,3,173393,528,87409,4,,1
31,61,,3,155973,687,35439,2,,0
32,42,,3,38481,366,102708,1,,0
33,66,,3,24280,813,24367,1,,0
34,44,,10,35726,494,28344,3,,0
35,59,,0,34826,532,77254,1,,0
36,45,,5,151958,530,95985,1,,1
37,33,,6,39435,544,45607,3,,0
38,32,,4,4383,863,118699,1,,0
39,64,,3,143524,335,85801,4,,1
40,68,,7,156365,382,43894,3,,1
41,61,,10,88371,373,105428,2,,0
42,69,,1,154332,850,109503,1,,0
43,20,,7,5466,796,146562,2,,0
44,54,,3,83558,636,21112,4,,0
45,68,,3,6574,671,42110,1,,0
46,24,,1,40125,604,103975,1,,1
47,38,,7,103098,867,143193,2,,1
48,26,,8,198031,449,48083,1,,1
49,56,,0,162827,548,36375,2,,1
50,35,,7,23428,496,45351,2,,1
51,21,,2,156579,677,86516,2,,0
52,42,,6,113955,345,84287,2,,1
53,31,,1,72597,717,73673,4,,1
54,67,,8,93565,746,57916,3,,0
55,26,,0,26941,545,91898,3,,1
56,43,,4,44180,379,56846,2,,1
57,70,,7,128070,399,31796,4,,0
58,19,,2,25878,479,109363,4,,1
59,37,,4,72975,391,11743,3,,0
60,45,,6,122966,815,131115,1,,1
61,64,,10,98125,631,124721,2,,0
62,24,,8,189591,308,148687,3,,0
63,61,,10,56488,303,139250,2,,0
64,25,,8,20653,344,101972,4,,1
65,64,,4,143325,885,139139,2,,1
66,52,,7,92593,418,22859,4,,0
67,31,,10,135766,584,82341,2,,0
68,34,,6,3616,535,121089,4,,0
69,53,,1,147661,316,108729,3,,1
70,67,,8,145332,634,101428,2,,0
71,57,,4,48020,318,121593,2,,1
72,21,,3,169094,626,93213,4,,1
73,19,,9,104304,579,106301,3,,0
74,23,,8,188423,578,120021,2,,0
75,59,,9,60349,771,104360,3,,0
76,21,,1,191900,578,49221,4,,1
77,46,,6,53952,531,65692,4,,0
78,35,,1,32184,309,142833,2,,1
79,43,,7,166895,531,91687,1,,0
80,61,,0,172557,640,75740,1,,0
81,51,,9,114542,310,126175,2,,0
82,27,,1,198427,833,134163,3,,0
83,53,,2,85032,561,62866,1,,0
84,31,,0,78750,860,17443,4,,1
85,48,,5,66561,700,65670,4,,0
86,65,,0,31426,335,77464,3,,1
87,32,,10,39351,836,15125,3,,0
88,25,,2,33087,312,114546,1,,1
89,31,,0,30835,350,63253,2,,1
90,40,,2,53644,485,36332,1,,1
91,57,,7,146183,672,132725,1,,1
92,38,,4,35690,397,141994,4,,0
93,33,,9,180792,408,99712,2,,0
